,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009185,GO:0009185,ribonucleoside diphosphate metabolic process,16/1349,140/28928,0.114285714,2.450746585,3.805557102,0.000846969,0.005972546,0.004651486,Rrm1/Ogt/Guk1/Rrm2/Ppp2ca/Pkm/Mtor/Cmpk1/Rptor/Arl2/Tpi1/Foxk2/Cant1/Gapdh/Ogdh/Ak2,16
GO:0009123,GO:0009123,nucleoside monophosphate metabolic process,11/1349,77/28928,0.142857143,3.063433231,4.009809707,0.000860157,0.006056343,0.004716748,Guk1/Gmps/Dut/Paics/Dtymk/Rfk/Cmpk1/Adsl/Ppat/Ak2/Tk1,11
GO:0031122,GO:0031122,cytoplasmic microtubule organization,10/1349,66/28928,0.151515152,3.249095851,4.045620453,0.000917444,0.00644991,0.005023262,Dync1h1/Tbcb/Tubg1/Ift88/Ift172/Kpnb1/Numa1/Cep120/Tubgcp4/Tubgcp3,10
GO:2000736,GO:2000736,regulation of stem cell differentiation,12/1349,90/28928,0.133333333,2.859204349,3.906917385,0.000955204,0.006705212,0.005222094,Sox9/Hspa9/Men1/Cdk12/Sox5/Hnrnpu/Rbbp4/Setd1a/Ccnk/Dicer1/Kat5/Dhx36,12
GO:0051642,GO:0051642,centrosome localization,7/1349,35/28928,0.2,4.288806523,4.30570671,0.001006451,0.007054277,0.00549395,Aurka/Spout1/Ranbp2/Ift20/Mad2l1/Cep83/Nubp1,7
GO:0001841,GO:0001841,neural tube formation,15/1349,129/28928,0.11627907,2.493492165,3.759910567,0.001015849,0.007109414,0.005536892,Med12/Rps7/Fuz/Stil/Lias/Tctn1/Bbs4/Ift172/Ift57/Opa1/Ift52/Ift122/Cc2d2a/Brpf1/Brd2,15
GO:0019076,GO:0019076,viral release from host cell,6/1349,26/28928,0.230769231,4.948622912,4.454888124,0.001046946,0.007283103,0.005672162,Chmp6/Chmp4b/Ddb1/Tsg101/Chmp3/Chmp7,6
GO:0032042,GO:0032042,mitochondrial DNA metabolic process,6/1349,26/28928,0.230769231,4.948622912,4.454888124,0.001046946,0.007283103,0.005672162,Rrm1/Dna2/Twnk/Dnaja3/Polg2/Top3a,6
GO:0035891,GO:0035891,exit from host cell,6/1349,26/28928,0.230769231,4.948622912,4.454888124,0.001046946,0.007283103,0.005672162,Chmp6/Chmp4b/Ddb1/Tsg101/Chmp3/Chmp7,6
GO:0070129,GO:0070129,regulation of mitochondrial translation,6/1349,26/28928,0.230769231,4.948622912,4.454888124,0.001046946,0.007283103,0.005672162,Mrps27/Tsfm/Rcc1l/Mtg2/Lrpprc/C1qbp,6
