"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016530","GO:0016530","metallochaperone activity","5/1306","15/28409",0.333333333333333,7.25089331291475,5.31566572711452,0.000415600037934862,0.00281141202132406,0.00197046988353017,"Fxn/Nubp2/Dph3/Nubp1/Cox17",5
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity","7/1306","31/28409",0.225806451612903,4.91189547003903,4.78366140210983,0.00042487094010123,0.00285017588984575,0.00199763880609,"Xpo1/Cse1l/Xpo5/Kpnb1/Tnpo1/Snupn/Nup214",7
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","6/1306","23/28409",0.260869565217391,5.67461215793328,4.9231224586567,0.000479545399519647,0.0031384881838481,0.00219971188825444,"Atp6v0c/Atp6v1b2/Atp6v1g1/Atp6v1d/Atp6v0d1/Atp6v0b",6
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","6/1306","23/28409",0.260869565217391,5.67461215793328,4.9231224586567,0.000479545399519647,0.0031384881838481,0.00219971188825444,"Atp6v0c/Atp6v1b2/Atp6v1g1/Atp6v1d/Atp6v0d1/Atp6v0b",6
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","6/1306","23/28409",0.260869565217391,5.67461215793328,4.9231224586567,0.000479545399519647,0.0031384881838481,0.00219971188825444,"Atp6v0c/Atp6v1b2/Atp6v1g1/Atp6v1d/Atp6v0d1/Atp6v0b",6
"GO:0140030","GO:0140030","modification-dependent protein binding","24/1306","248/28409",0.0967741935483871,2.10509805858815,3.83694748893112,0.00050719565549065,0.00329268147314495,0.00230778328814082,"Gm20738/Yeats4/Bptf/Wdr5/Ufd1/Prpf8/Topbp1/Nploc4/Hgs/Htatsf1/Gm20747/Brd4/Ncapg2/Sgf29/Smarca4/Psmd4/Sprtn/Hspd1/Taf7/Kmt2a/Chd8/Brd2/Zmynd8/Gm20815",24
"GO:0008173","GO:0008173","RNA methyltransferase activity","10/1306","63/28409",0.158730158730159,3.45280633948322,4.27829649578186,0.000564140212396416,0.00363306296783292,0.00254635076921667,"Trmt61a/Mettl16/Dimt1/Tfb1m/Mepce/Ftsj3/Mettl14/Cmtr1/Mettl1/Bud23",10
"GO:0004536","GO:0004536","DNA nuclease activity","10/1306","64/28409",0.15625,3.39885624042879,4.21734581709304,0.000641451145585339,0.00409816009679522,0.00287232927346484,"Rad1/Dna2/Pole/Rad9a/Rps3/Pold1/Rad51c/Dicer1/Ptbp1/Fen1",10
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","36/1306","440/28409",0.0818181818181818,1.77976472226089,3.61855091275421,0.000651741700850199,0.00413111865499536,0.00289542935479243,"Cdk1/Plk1/Riok1/Gm10662/Aurka/Csnk1a1/Pkm/Csnk2b/Cdk12/Mastl/Pkmyt1/Cdk9/Dbf4/Chek1/Brd4/Mtor/Ccnk/Dcaf1/Cdk7/Trp53rka/Ccnh/Pik3ca/Stk11/Vrk1/Ttbk2/Ttk/Prpf4b/Gm10668/Nrbp1/Smg1/Cdc7/Pik3r4/Brd2/Bub1b/Dyrk1a/Atr",36
"GO:0016410","GO:0016410","N-acyltransferase activity","13/1306","100/28409",0.13,2.82784839203675,4.01939920605693,0.000666433564748779,0.00419124234080287,0.00293756900251106,"Ogt/Naa15/Meaf6/Nat10/Esco2/Kat8/Smarce1/Naa20/Kat5/Gtf3c4/Alas1/Brpf1/Taf10",13
"GO:0001054","GO:0001054","RNA polymerase I activity","4/1306","10/28409",0.4,8.7010719754977,5.3466640182947,0.000746972967833891,0.00462548645466371,0.00324192316404021,"Polr1b/Polr2h/Polr1d/Polr1a",4
"GO:0016884","GO:0016884","carbon-nitrogen ligase activity, with glutamine as amido-N-donor","4/1306","10/28409",0.4,8.7010719754977,5.3466640182947,0.000746972967833891,0.00462548645466371,0.00324192316404021,"Gmps/Gatb/Qrsl1/Gatc",4
"GO:0140104","GO:0140104","molecular carrier activity","13/1306","103/28409",0.12621359223301,2.74548387576384,3.89563660551217,0.000883918255685453,0.00543171141852511,0.00380699224626278,"Xpo1/Cse1l/Fxn/Nubp2/Dph3/Xpo5/Kpnb1/Tnpo1/Timm10/Snupn/Nup214/Nubp1/Cox17",13
"GO:0017134","GO:0017134","fibroblast growth factor binding","6/1306","26/28409",0.230769230769231,5.01984921663329,4.50143023940443,0.000971840763606065,0.00588219409551039,0.00412272773480689,"Rps19/Hspa9/Cep57/Fgfr2/Glg1/Smn1",6
"GO:0070577","GO:0070577","lysine-acetylated histone binding","6/1306","26/28409",0.230769230769231,5.01984921663329,4.50143023940443,0.000971840763606065,0.00588219409551039,0.00412272773480689,"Yeats4/Brd4/Smarca4/Kmt2a/Brd2/Zmynd8",6
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","16/1306","144/28409",0.111111111111111,2.41696443763825,3.74195824752941,0.000987763387230474,0.00593395169194426,0.00415900373570726,"Ndufs2/Atp2a2/Atp6v0c/Atp6v1b2/Ndufa2/Atp6v1g1/Uqcrfs1/Ndufs7/Ndufb7/Atp6v1d/Ndufv2/Cyc1/Atp2b1/Atp6v0d1/Cox5a/Atp6v0b",16
"GO:0008137","GO:0008137","NADH dehydrogenase (ubiquinone) activity","5/1306","18/28409",0.277777777777778,6.04241109409563,4.69750653453666,0.0010566946001136,0.00630103076364035,0.00441628308507516,"Ndufs2/Ndufa2/Ndufs7/Ndufb7/Ndufv2",5
"GO:0005049","GO:0005049","nuclear export signal receptor activity","4/1306","11/28409",0.363636363636364,7.91006543227064,5.0317361574624,0.0011311818984661,0.00659856107438556,0.00462481691516268,"Xpo1/Cse1l/Xpo5/Nup214",4
"GO:0008641","GO:0008641","ubiquitin-like modifier activating enzyme activity","4/1306","11/28409",0.363636363636364,7.91006543227064,5.0317361574624,0.0011311818984661,0.00659856107438556,0.00462481691516268,"Uba1/Uba2/Mocs3/Uba3",4
"GO:0034511","GO:0034511","U3 snoRNA binding","4/1306","11/28409",0.363636363636364,7.91006543227064,5.0317361574624,0.0011311818984661,0.00659856107438556,0.00462481691516268,"Dhx37/Tsr1/Rrp9/Tbl3",4
"GO:0008170","GO:0008170","N-methyltransferase activity","12/1306","94/28409",0.127659574468085,2.77693786452054,3.78801003783092,0.00124386943991308,0.00720370431028796,0.00504895130475887,"Wdr5/Mettl16/Dimt1/Tfb1m/Prmt5/Kmt2b/Prmt1/Ndufaf7/Setd1a/Ash2l/Kmt2a/Dot1l",12
"GO:0140033","GO:0140033","acetylation-dependent protein binding","6/1306","28/28409",0.214285714285714,4.66128855830234,4.25483147063081,0.00147013426543666,0.00845327202626082,0.00592475162612069,"Yeats4/Brd4/Smarca4/Kmt2a/Brd2/Zmynd8",6
"GO:0032182","GO:0032182","ubiquitin-like protein binding","14/1306","123/28409",0.113821138211382,2.47591478977577,3.60090204528301,0.00158338622251375,0.00903990006470618,0.00633590903521741,"Rae1/Bub3/Top2a/Nploc4/Hgs/Dhx16/Ube2n/Uba2/Vps36/Usp5/Uspl1/Sprtn/Tsg101/Gga3",14
"GO:0008649","GO:0008649","rRNA methyltransferase activity","5/1306","20/28409",0.25,5.43816998468606,4.35840032178427,0.00177113429774229,0.00987907484582005,0.00692407207238908,"Mettl16/Dimt1/Tfb1m/Ftsj3/Bud23",5
