,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
435,Mastl,4,2.6789e-05,9.2095e-05,0.004251,460,4,-1.7003,0.99997,0.99997,1,20807,0,-1.7003
436,Trnt1,4,2.6864e-05,9.2095e-05,0.004251,461,4,-1.6864,0.99997,0.99997,1,20806,0,-1.6864
437,Gm3226,2,2.6885e-05,5.3858e-05,0.00323,462,2,-4.4681,0.99997,0.99997,1,20805,0,-4.4681
438,Ndufa2,4,2.6995e-05,9.2561e-05,0.004263,463,4,-2.0923,0.99997,0.99997,1,20804,0,-2.0923
439,Psmb3,3,2.7062e-05,8.3235e-05,0.004048,464,3,-3.2545,0.99997,0.99998,1,20803,0,-3.2545
440,Twnk,4,2.7109e-05,9.3027e-05,0.004266,465,4,-1.8361,0.99997,0.99997,1,20802,0,-1.8361
441,Triap1,4,2.7146e-05,9.3027e-05,0.004266,466,4,-2.2075,0.99997,0.99997,1,20801,0,-2.2075
442,Mrps27,4,2.7317e-05,9.4426e-05,0.004312,467,4,-2.0684,0.99997,0.99997,1,20800,0,-2.0684
443,Tpt1,4,2.7336e-05,9.4426e-05,0.004312,468,4,-2.4769,0.99997,0.99997,1,20799,0,-2.4769
444,Nup155,4,2.7546e-05,9.5359e-05,0.004345,469,4,-2.6471,0.99997,0.99997,1,20798,0,-2.6471
445,Tkt,4,2.7579e-05,9.5825e-05,0.004348,470,4,-2.6342,0.99996,0.99996,1,20710,0,-2.6342
446,Tsr1,4,2.7651e-05,9.5825e-05,0.004348,471,4,-2.1879,0.99997,0.99997,1,20797,0,-2.1879
447,Elob,4,2.7742e-05,9.6291e-05,0.00435,472,4,-3.0045,0.99994,0.99994,1,20609,0,-3.0045
448,Cox15,4,2.7795e-05,9.6291e-05,0.00435,473,4,-1.7999,0.99997,0.99997,1,20796,0,-1.7999
449,Lsm2,4,2.793e-05,9.6758e-05,0.004353,474,4,-2.0544,0.99997,0.99997,1,20795,0,-2.0544
450,Uba1,4,2.796e-05,9.6758e-05,0.004353,475,4,-3.3904,0.99997,0.99997,1,20784,0,-3.3904
451,Cox6c,4,2.7988e-05,9.7224e-05,0.004355,476,4,-1.5257,0.99997,0.99997,1,20794,0,-1.5257
452,Prim2,4,2.8046e-05,9.7224e-05,0.004355,477,4,-2.1145,0.99997,0.99997,1,20793,0,-2.1145
453,Polr1d,4,2.8338e-05,9.8623e-05,0.004409,478,4,-1.7947,0.99997,0.99997,1,20792,0,-1.7947
454,Prpf3,4,2.8652e-05,0.00010049,0.004473,479,4,-1.7241,0.99997,0.99997,1,20791,0,-1.7241
455,Rack1,4,2.8869e-05,0.00010142,0.004505,480,4,-1.6565,0.99997,0.99997,1,20790,0,-1.6565
456,Tmem231,4,2.9117e-05,0.00010189,0.004507,481,4,-2.0445,0.99997,0.99997,1,20789,0,-2.0445
457,Stil,4,2.9147e-05,0.00010189,0.004507,482,4,-1.6623,0.99997,0.99997,1,20788,0,-1.6623
458,Hmbs,4,2.9247e-05,0.00010235,0.004509,483,4,-1.3015,0.99997,0.99997,1,20787,0,-1.3015
459,Pkmyt1,4,2.9568e-05,0.00010235,0.004509,484,4,-1.1632,0.99997,0.99997,1,20786,0,-1.1632
460,Ddx55,4,2.975e-05,0.00010282,0.004511,485,4,-2.3959,0.99997,0.99997,1,20785,0,-2.3959
461,Mepce,4,2.9912e-05,0.00010282,0.004511,486,4,-2.0905,0.99997,0.99997,1,20783,0,-2.0905
462,Mrpl36,4,3.0651e-05,0.00010515,0.004603,487,4,-1.8249,0.99997,0.99997,1,20781,0,-1.8249
463,Rbx1,4,3.0672e-05,0.00010562,0.004605,488,4,-1.9468,0.99997,0.99997,1,20780,0,-1.9468
464,Rhox3a,9,3.0756e-05,0.0002152,0.006851,489,7,-0.7728,0.99781,0.99779,1,19644,0,-0.7728
465,Ccnq,4,3.0859e-05,0.00010608,0.004616,490,4,-1.7116,0.99997,0.99997,1,20779,0,-1.7116
466,Atad3a,4,3.113e-05,0.00010655,0.004617,491,4,-2.0379,0.99997,0.99997,1,20778,0,-2.0379
467,Igbp1,4,3.1509e-05,0.00010842,0.004681,492,4,-2.253,0.99997,0.99997,1,20777,0,-2.253
468,Dad1,4,3.1615e-05,0.00010888,0.004681,493,4,-2.4278,0.99997,0.99997,1,20776,0,-2.4278
469,B3galt6,4,3.1743e-05,0.00010935,0.004681,494,4,-1.7653,0.99997,0.99997,1,20775,0,-1.7653
470,Ddx41,4,3.1785e-05,0.00010935,0.004681,495,4,-1.7569,0.99997,0.99997,1,20774,0,-1.7569
471,Clp1,4,3.1839e-05,0.00010935,0.004681,497,4,-3.0681,0.99996,0.99996,1,20724,0,-3.0681
472,Sox1,4,3.2084e-05,0.00011028,0.004702,498,4,-1.4958,0.99997,0.99997,1,20772,0,-1.4958
473,Vbp1,4,3.2106e-05,0.00011028,0.004702,499,4,-1.5971,0.99997,0.99997,1,20771,0,-1.5971
474,Gm10767,5,3.2139e-05,0.00014199,0.005363,500,5,-1.2292,0.99997,0.99997,1,20770,0,-1.2292
475,Kmt2b,4,3.2213e-05,0.00011075,0.004712,501,4,-1.9573,0.99997,0.99997,1,20769,0,-1.9573
476,Spout1,4,3.2321e-05,0.00011121,0.004713,502,4,-2.1395,0.99997,0.99997,1,20768,0,-2.1395
