id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Rras2	4	0.51399	0.5377	1.0	7659	1	0.23145	0.09692	0.1833	0.912509	4086	2	0.23145
Zdhhc11	4	0.51402	0.53772	1.0	7660	1	0.049398	0.8831	0.8828	1.0	16963	0	0.049398
NO_SITE_610	1	0.51407	0.51399	1.0	7661	0	0.033093	0.48593	0.48597	1.0	10596	0	0.033093
Il2	4	0.51408	0.53777	1.0	7662	1	0.19292	0.2011	0.31161	0.990039	6505	2	0.19292
9130213A22Rik	3	0.5141	0.51638	1.0	7663	1	0.19909	0.16163	0.25672	0.965868	5587	1	0.19909
Rcbtb1	4	0.5141	0.53779	1.0	7664	1	0.00050939	0.14995	0.24886	0.962654	5304	1	0.00050939
Cyp7b1	4	0.51416	0.53783	1.0	7665	1	0.33499	0.017436	0.046618	0.767506	1213	2	0.33499
Fkbp5	4	0.51422	0.53788	1.0	7666	1	0.053401	0.8742	0.87387	1.0	16811	0	0.053401
Mmd2	4	0.51428	0.53792	1.0	7667	1	-0.07713	0.32163	0.43338	1.0	8732	1	-0.07713
Emc10	4	0.51431	0.53794	1.0	7668	1	-0.037326	0.052168	0.12139	0.865306	2792	1	-0.037326
Rinl	4	0.5144	0.53801	1.0	7669	1	0.25804	0.031041	0.076814	0.829369	1848	2	0.25804
Tex9	4	0.51457	0.53815	1.0	7670	1	0.19882	0.13387	0.22909	0.950899	4938	2	0.19882
Dnah9	4	0.51463	0.53819	1.0	7671	1	-0.012659	0.84551	0.84503	1.0	16309	0	-0.012659
3110009E18Rik	4	0.51466	0.53822	1.0	7672	1	0.0078835	0.75939	0.7592	1.0	14794	0	0.0078835
Zfp28	4	0.51469	0.53824	1.0	7673	1	0.1258	0.077555	0.15914	0.889706	3606	2	0.1258
Dlx5	4	0.51481	0.53834	1.0	7674	1	0.35034	0.024922	0.063492	0.806313	1573	3	0.35034
Gjd3	4	0.51484	0.53836	1.0	7675	1	-0.026851	0.51635	0.5504	1.0	10978	1	-0.026851
Pcdhb18	4	0.51486	0.53839	1.0	7676	1	0.24243	0.20772	0.31974	0.991677	6658	2	0.24243
NO_SITE_702	1	0.51491	0.51481	1.0	7677	0	0.035812	0.48509	0.48511	1.0	10587	0	0.035812
Tbl1xr1	4	0.51492	0.53844	1.0	7678	1	-0.03649	0.691	0.69102	1.0	13565	1	-0.03649
Actn4	4	0.51495	0.53847	1.0	7679	1	0.012167	0.33426	0.44017	1.0	8870	1	0.012167
NO_SITE_564	1	0.515	0.51492	1.0	7680	0	0.028354	0.485	0.48501	1.0	10585	0	0.028354
Trp53i13	4	0.51504	0.53853	1.0	7681	1	-0.0088442	0.81205	0.81175	1.0	15705	0	-0.0088442
NO_SITE_554	1	0.51505	0.51496	1.0	7682	0	0.032001	0.48495	0.48496	1.0	10584	0	0.032001
Sarm1	4	0.51511	0.53858	1.0	7683	1	0.23986	0.25243	0.37376	1.0	7681	2	0.23986
Polh	4	0.51511	0.53858	1.0	7684	1	-0.02039	0.92816	0.92794	1.0	17785	0	-0.02039
Fxyd3	4	0.51516	0.53861	1.0	7685	1	0.30936	0.044275	0.10508	0.860287	2428	3	0.30936
Prss43	4	0.51519	0.53862	1.0	7686	1	0.16305	0.12311	0.21568	0.933934	4732	2	0.16305
Olfr340	4	0.51522	0.53865	1.0	7687	1	0.23165	0.27058	0.39562	1.0	8040	2	0.23165
NO_SITE_178	1	0.51523	0.51514	1.0	7688	0	0.030206	0.48477	0.48477	1.0	10581	0	0.030206
Fam161b	4	0.51527	0.5387	1.0	7689	1	0.15275	0.21378	0.32712	0.992759	6798	2	0.15275
Zfp384	4	0.5153	0.53872	1.0	7690	1	0.21878	0.73485	0.73454	1.0	14357	0	0.21878
Zc3h11a	4	0.51536	0.53877	1.0	7691	1	0.28294	0.21441	0.32788	0.992759	6815	2	0.28294
Rab7	2	0.51538	0.51544	1.0	7692	0	-0.00089913	0.55622	0.55627	1.0	11499	0	-0.00089913
Stra6	4	0.51539	0.53879	1.0	7693	1	-0.24397	0.17059	0.27419	0.97387	5796	1	-0.24397
1700122O11Rik	4	0.51545	0.53884	1.0	7694	1	0.29718	0.090259	0.17494	0.907177	3920	2	0.29718
Sohlh2	4	0.51548	0.53887	1.0	7695	1	-0.022496	0.45499	0.5104	1.0	10204	1	-0.022496
Armh1	4	0.51555	0.53892	1.0	7696	1	-0.23856	0.68856	0.68868	1.0	13529	1	-0.23856
Eml6	4	0.5156	0.53895	1.0	7697	1	0.0453	0.76593	0.76578	1.0	14902	0	0.0453
Olfr196	3	0.51561	0.51777	1.0	7698	1	-0.03163	0.15494	0.24725	0.962654	5432	1	-0.03163
Adam39	4	0.51565	0.53902	1.0	7699	1	-0.199	0.57397	0.5919	1.0	11724	1	-0.199
5430427O19Rik	4	0.51568	0.53904	1.0	7700	1	-0.12736	0.44408	0.50367	1.0	10074	1	-0.12736
Gm33381	1	0.51571	0.51561	1.0	7701	0	0.026598	0.48429	0.48429	1.0	10574	0	0.026598
Lxn	4	0.51574	0.53909	1.0	7702	1	-0.16898	0.66609	0.66798	1.0	13151	1	-0.16898
C1d	4	0.51586	0.53917	1.0	7703	1	0.17231	0.23307	0.35047	0.997093	7236	2	0.17231
Itgb1	4	0.51595	0.53923	1.0	7704	1	0.60036	0.0085383	0.025946	0.709412	730	3	0.60036
Chrna1	4	0.516	0.53928	1.0	7705	1	0.0082832	0.82886	0.82842	1.0	16014	0	0.0082832
Irf2bp2	4	0.51603	0.5393	1.0	7706	1	0.4677	0.0054441	0.018629	0.676282	552	3	0.4677
Gsdme	4	0.51606	0.53933	1.0	7707	1	-0.0037744	0.84222	0.84166	1.0	16260	0	-0.0037744
Rnf11	4	0.51624	0.53945	1.0	7708	1	0.092792	0.73373	0.73342	1.0	14342	0	0.092792
Lrp10	4	0.51627	0.53947	1.0	7709	1	-0.0094131	0.83929	0.83875	1.0	16207	0	-0.0094131
Hnrnph2	3	0.51631	0.51841	1.0	7710	1	-0.0054249	0.81749	0.81733	1.0	15804	0	-0.0054249
